,age,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,value_eur,log_value_eur,overall
age,1.0,0.05232370962727489,0.20581839125976464,-0.19839467761248836,0.2377892282708716,0.33600747886565685,0.1910483540498598,0.24892204859290665,0.44008996853011395,0.26204751028392553,0.1641111883967389,0.35185571902257773,0.3288199905505214,0.23864616983413706,0.13224122196076407,0.2651022935249954,0.2995323547809356,0.3183893484293681,0.2672941296215638,-0.19867812150267425,-0.1860422053067257,-0.010986188748413412,0.4383204218809189,-0.04975903098651548,0.3110095757026207,0.25341406286173135,0.27126031256036376,0.3685464202370787,0.2694880431895687,0.37832046658044055,0.2510807798451942,0.20891771753186916,0.24699720030285957,0.2504603170451944,0.4422420556663112,0.2579718400411489,0.1898414552009698,0.16702132021809274,0.0817256440971775,0.10215618594035814,0.09931395375770623,0.09354117050422861,0.10236333223228367,0.038120382376364045,0.053122987216308114,0.444815293195562
height_cm,0.05232370962727489,1.0,0.7396295788484072,-0.395791113513698,-0.20305395504206455,-0.27421778131635766,-0.3687681533711189,0.18450260007751648,0.49018694987318756,-0.37607295456705575,-0.20929675895770514,0.5249662364169101,-0.10443069771948779,-0.173250913103111,-0.345697320003045,-0.3172194576652939,-0.2875915719516984,-0.12719917117254564,-0.19322289941706575,-0.4635077216128313,-0.31632703395053374,-0.593276468578038,0.060278344217670275,-0.7539435022876356,-0.0681277274238752,0.1800890978376568,-0.04307488290309756,0.6553698551024539,-0.23222584754556677,0.23242481324021363,0.1422165828378863,-0.2862838965533131,-0.2863840606298888,-0.1443866559311781,0.004466948433061476,0.16019824278959993,0.141920385272861,0.12743249520071517,0.011639644333952587,0.005057328947406636,-0.0008152698109777708,-0.010854636349853423,-0.002935488066703359,0.022595591967960276,0.035417931825300966,0.060614303619619045
weight_kg,0.20581839125976464,0.7396295788484072,1.0,-0.3519260681324548,-0.11017933626512053,-0.1797062413411674,-0.2718597436105379,0.18323504929085344,0.5667540492017811,-0.27628655057143814,-0.13201767176351234,0.5249908726963173,-0.030486529905738524,-0.08966345285341958,-0.2639609753901712,-0.22643020817937026,-0.18551839644639717,-0.06779548987156786,-0.11492983352343147,-0.41013289439406125,-0.282867761166704,-0.5007203103602365,0.1436114150769325,-0.6208550397981778,0.02392641777587585,0.23100436943406055,0.01722868179025502,0.7173675206630964,-0.131531878061475,0.2879647112289399,0.14364047234611763,-0.19143429772734327,-0.21053711777484405,-0.05437353274303917,0.08840402915892426,0.16539275665276873,0.13600945577929813,0.1176532208992167,0.027830436599579657,0.02216883150061809,0.01773234410733499,0.01362657055222014,0.02168688575378451,0.03825282782047921,0.07417246206676857,0.1564900425760162
pace,-0.19839467761248836,-0.395791113513698,-0.3519260681324548,1.0,0.3247992177641837,0.25371051304083986,0.49629646489379337,-0.2845926884217327,-0.18391381149549005,0.41225172175187313,0.3485540469893125,-0.2612169445775026,0.10548992572793098,0.28412623352006344,0.48997561196634604,0.34058178653314136,0.19163819421657632,0.01074291521411898,0.317573784152606,0.9578871718262003,0.9717668737347386,0.6983033955980059,0.08488541266360577,0.5273893325186786,0.20521269395523584,-0.021562521017734565,0.24461455566800863,-0.3010471145260215,0.27603934421703546,-0.20507341145479044,-0.2653691840529471,0.4102256864969128,0.2683831742885608,0.19236054442982065,0.10052467972132635,-0.2696016599229404,-0.26287111489892684,-0.25542812478567833,-0.022502516569528258,-0.01836808230555047,-0.007435995121391089,-0.027511147081183216,-0.016995999649246245,0.18057246766416946,0.2999819301464823,0.17914498742954388
shooting,0.2377892282708716,-0.20305395504206455,-0.11017933626512053,0.3247992177641837,1.0,0.6642297493425914,0.7735261075936648,-0.40149912539256627,-0.0013668932683024975,0.5188495277813774,0.9694688123057712,0.06103053838335145,0.5126368433588646,0.8818062952463172,0.7661534387458986,0.7250178079061309,0.7174957010443315,0.36563028955597465,0.7246220228179358,0.341275114474827,0.2920341053324327,0.49741211736082297,0.45450233605895013,0.34527973532477385,0.867737619393087,-0.06830553533269683,0.208786864854321,-0.06012316061485364,0.9341156497812936,-0.06488139093062976,-0.3758987492308082,0.8637264171927789,0.7531350312764035,0.8207319822451261,0.5567678715904731,-0.3885018748650675,-0.4204110890599812,-0.4575330823558563,0.019212956429668075,0.0287336150414013,0.048682051206895546,0.028361993269229974,0.027056255336926148,0.2860199854273542,0.4484019181230772,0.47860979082123506
passing,0.33600747886565685,-0.27421778131635766,-0.1797062413411674,0.25371051304083986,0.6642297493425914,1.0,0.8476022340759976,0.18723059713249793,0.15021259512744595,0.8236299020451024,0.5663438713164005,0.04289207880577764,0.8979898692202516,0.594999418733148,0.7880095143627792,0.8152954948147,0.7507295943065118,0.8504583459387466,0.8516045226959742,0.2823153781615614,0.215010605861482,0.5097619192275751,0.655309669430934,0.4123853675263451,0.6599306107695179,-0.03631497787836668,0.41231769345456476,-0.05727606206974088,0.7123493190788781,0.25165884664157134,0.20933679949084533,0.6773472529652869,0.8874612462131127,0.5118901818522246,0.7297838554314542,0.1924213609334517,0.17371664309178936,0.13998082598250008,0.022957477902667937,0.04677500225828193,0.045082921459021735,0.03657607136393577,0.030935741229080712,0.40903494225393555,0.6472803304816499,0.7149847699415397
dribbling,0.1910483540498598,-0.3687681533711189,-0.2718597436105379,0.49629646489379337,0.7735261075936648,0.8476022340759976,1.0,-0.11491587349656832,0.005330990650760969,0.7400344185145369,0.7221949590972894,-0.0334947812169721,0.7203564428781337,0.6907993565318569,0.9713836166970098,0.7855133519610265,0.6648071862990951,0.5831213500685424,0.922880430476604,0.5230134296197289,0.44422958459131884,0.7087796226770415,0.5985838848104258,0.5551127538372078,0.6803738262224769,-0.051993809032827736,0.35368222209397604,-0.17158091383043045,0.7562574845720377,0.06388959693155057,-0.08939316913751436,0.8044047354287275,0.8222388742542215,0.5891134975211227,0.6794746480346308,-0.10133447210830082,-0.123675469225467,-0.1509739286015669,0.01108021625349242,0.025519133279388134,0.0347976212816179,0.01943411659379151,0.01983277973455472,0.4070282608125671,0.6613679357109328,0.6633130552004366
defending,0.24892204859290665,0.18450260007751648,0.18323504929085344,-0.2845926884217327,-0.40149912539256627,0.18723059713249793,-0.11491587349656832,1.0,0.5327593372322776,0.09945859152618096,-0.49625432437526706,0.32696177508364793,0.32535679019381686,-0.3815396750218906,-0.18747768709533208,-0.0810474251096266,-0.07990045588699272,0.44806417839228313,0.012577242822742531,-0.2945306682873308,-0.2594682169368762,-0.2491973666552822,0.338354785872884,-0.17402804654792275,-0.1715161615929915,0.2738874188822046,0.3624755291945164,0.34575166092492954,-0.26200776592309716,0.6628827036515971,0.9700376795861599,-0.3336783022534441,-0.046647782280518656,-0.3787047859628849,0.23012768681216453,0.9715330894095318,0.9790242909830937,0.9659661525641258,0.02624692806739158,0.04051784157093481,0.014106306595076739,0.028787466304370825,0.027124259575215547,0.15496922961709575,0.24784179313680568,0.34948368782554684
physic,0.44008996853011395,0.49018694987318756,0.5667540492017811,-0.18391381149549005,-0.0013668932683024975,0.15021259512744595,0.005330990650760969,0.5327593372322776,1.0,0.004068661928321311,-0.07942942807493023,0.6581104610347055,0.29326843652500834,-0.014319374110193583,-0.05203143220805978,-0.008577472811207472,-0.011350089890754103,0.2661976049745948,0.1526450961897377,-0.2386824063264039,-0.12834932247267633,-0.2510751317703813,0.49206240720623806,-0.35691312470951164,0.1883608028138868,0.5286683765920488,0.5923717496628745,0.8969123853990857,0.03087944082353169,0.7537797785062877,0.500947582566626,-0.015296405336177233,0.037477675569069877,-0.014444633668797174,0.3952041068268979,0.5059724828943551,0.467298284265351,0.43922529215234296,0.0442021697554752,0.057717885627675866,0.04949808655890447,0.04924870112515823,0.052097560777596696,0.21513171200263484,0.3645560821145054,0.5178773565532246
attacking_crossing,0.26204751028392553,-0.37607295456705575,-0.27628655057143814,0.41225172175187313,0.5188495277813774,0.8236299020451024,0.7400344185145369,0.09945859152618096,0.004068661928321311,1.0,0.4483954825723383,-0.11718049571237182,0.5825329696477475,0.4799323098263116,0.7171418954979168,0.7627886127540926,0.61984609757475,0.5548341944088132,0.6580958149006463,0.4366017022968871,0.36740332688803506,0.5667969493075272,0.44185683605273546,0.4724707145184926,0.47412547770318864,-0.08660725684939342,0.34712066052859875,-0.18682624614457502,0.5574413748691386,0.10970589464523262,0.12299367631504718,0.6131514067018327,0.6638015206825955,0.383464923863068,0.4969363898202159,0.11074220520400736,0.10115175335301613,0.08919977830364868,0.020149190707225935,0.03719513938478283,0.034481183912254965,0.02444250388400625,0.028533835081293153,0.28968392437565554,0.4635803994410465,0.5216710809301108
